gen ave_objective1 std_objective1 ave_objective2 std_objective2 ave_Y std_Y ave_X std_X time
0 0.54482316 0.30673700 0.73784622 0.38378124 -0.0204 0.5362 0.1572 0.5798 0.0
1 0.56557244 0.31354693 0.73261886 0.45225179 -0.0356 0.5061 0.2288 0.5793 0.0
2 0.52179774 0.32536723 0.79322554 0.42371019 -0.2596 0.4753 0.0657 0.5892 0.0
3 0.46648678 0.30468742 0.60999725 0.38829363 -0.3119 0.4791 0.0222 0.5254 0.0
4 0.39634289 0.27994505 0.46200912 0.39406473 -0.2608 0.4559 0.0391 0.4561 0.0
5 0.47092185 0.33245199 0.54853699 0.41686870 -0.2435 0.4686 -0.0559 0.5475 0.0
6 0.46648891 0.32875776 0.55525860 0.46222291 -0.1534 0.4724 -0.2880 0.4630 0.0
7 0.37708369 0.32369449 0.37865356 0.31871457 -0.0316 0.3866 -0.2371 0.4197 0.0
8 0.30434969 0.25747285 0.32656458 0.31642977 -0.0819 0.3070 -0.1796 0.3447 0.0
9 0.31137851 0.29572932 0.31008019 0.35283482 -0.1107 0.3200 -0.1712 0.3777 0.0
10 0.24228136 0.25994873 0.22143277 0.25805362 -0.1423 0.2406 -0.0166 0.3453 0.0
11 0.19712491 0.21679324 0.26699416 0.29794182 -0.1369 0.2488 -0.0255 0.2851 0.1
12 0.20487127 0.21206317 0.24539327 0.29484697 -0.1416 0.1947 -0.0602 0.2828 0.1
13 0.21333581 0.19625325 0.29323822 0.32512638 -0.1886 0.2054 -0.0200 0.2821 0.1
14 0.21949042 0.22834543 0.30781100 0.39814860 -0.2029 0.2817 -0.0219 0.3000 0.1
15 0.16123376 0.19144011 0.27580399 0.35368767 -0.1500 0.3049 0.0376 0.2319 0.1
16 0.19088178 0.17807282 0.26803988 0.24566665 -0.1270 0.2733 0.0290 0.2541 0.1
17 0.17114015 0.23485545 0.30003998 0.29989768 -0.0305 0.2548 0.0070 0.2878 0.1
18 0.10213897 0.16025574 0.17922543 0.21688438 0.0615 0.1685 0.0185 0.1869 0.1
19 0.10259285 0.16404148 0.20760400 0.24969496 0.0995 0.2132 0.0407 0.1841 0.1
20 0.09243213 0.13700220 0.24339120 0.27998523 0.1355 0.3049 0.0052 0.1535 0.1
21 0.06297835 0.11315392 0.14130948 0.17530486 0.0814 0.2262 -0.0239 0.1195 0.1
22 0.04489223 0.09423479 0.18838869 0.21963531 0.1285 0.2103 -0.0225 0.0987 0.1
23 0.05858742 0.08877671 0.19028721 0.23443361 0.0893 0.2701 -0.0243 0.0992 0.1
24 0.03789415 0.07529951 0.09744850 0.15009534 0.0320 0.1669 -0.0224 0.0797 0.1
25 0.03501147 0.07865092 0.06705800 0.12132751 -0.0131 0.1118 -0.0245 0.0822 0.1
26 0.03452623 0.08022142 0.05702741 0.10836225 -0.0306 0.0863 -0.0232 0.0840 0.1
27 0.07467639 0.16201410 0.11535218 0.19547562 0.0029 0.2051 -0.0037 0.1751 0.1
28 0.06954221 0.12339752 0.14052359 0.19488703 -0.0394 0.2286 0.0089 0.1382 0.1
29 0.07543064 0.13891237 0.21143019 0.29513529 -0.0866 0.3230 -0.0032 0.1537 0.1
30 0.07377727 0.15115806 0.27544133 0.35635477 -0.1728 0.3760 0.0162 0.1594 0.1
31 0.08482010 0.16901429 0.30293338 0.39270655 -0.1727 0.3934 0.0391 0.1793 0.1
32 0.17903275 0.29125556 0.41984766 0.45571449 -0.1643 0.4316 0.1267 0.3089 0.1
33 0.10670083 0.21385922 0.33747645 0.40750571 -0.1027 0.4141 0.0263 0.2283 0.2
34 0.09591400 0.20559995 0.35213823 0.39794922 -0.0408 0.4313 0.0126 0.2164 0.2
35 0.05854436 0.11234986 0.25025237 0.30878352 0.0344 0.3602 0.0160 0.1211 0.2
36 0.07692489 0.13667233 0.26785579 0.35156782 -0.0466 0.3717 0.0353 0.1462 0.2
37 0.09460101 0.12447077 0.17436902 0.24113567 -0.0325 0.2275 0.0888 0.1257 0.2
38 0.06854380 0.11556964 0.06850442 0.12005019 -0.0073 0.0165 0.0685 0.1156 0.2
39 0.10149291 0.14778961 0.10034364 0.14872909 -0.0062 0.0070 0.1011 0.1480 0.2
40 0.05964838 0.12278499 0.06030817 0.12397907 -0.0054 0.0053 0.0498 0.1271 0.2
41 0.07065329 0.16592516 0.07163186 0.16994462 -0.0056 0.0038 0.0521 0.1726 0.2
42 0.03594722 0.08309413 0.03740136 0.08489718 -0.0062 0.0037 -0.0048 0.0904 0.2
43 0.03350010 0.07120734 0.03540212 0.07178888 -0.0063 0.0051 0.0076 0.0783 0.2
44 0.01875230 0.02808679 0.03098955 0.07561191 -0.0201 0.0735 0.0132 0.0308 0.2
45 0.02271329 0.03114215 0.02069394 0.02978493 -0.0049 0.0033 0.0154 0.0353 0.2
46 0.03492033 0.11530140 0.03551759 0.11962005 -0.0047 0.0023 -0.0116 0.1199 0.2
47 0.01795750 0.02771569 0.02381837 0.04183946 -0.0111 0.0337 0.0163 0.0287 0.2
48 0.01361332 0.02146336 0.01716088 0.02440452 -0.0084 0.0153 0.0123 0.0222 0.2
49 0.01478098 0.02210951 0.01807412 0.02444346 -0.0081 0.0152 0.0141 0.0225 0.2
50 0.01300471 0.01957994 0.01696331 0.02518011 -0.0085 0.0187 0.0096 0.0214 0.2
51 0.02241936 0.08804262 0.03330770 0.09552850 -0.0153 0.0360 0.0191 0.0888 0.2
52 0.08979819 0.21721389 0.10305922 0.21457455 -0.0224 0.0361 0.0880 0.2178 0.2
53 0.07716593 0.20567357 0.08634814 0.21304657 -0.0110 0.0235 0.0765 0.2059 0.2
54 0.04079088 0.11571837 0.04415437 0.11817559 -0.0071 0.0145 0.0309 0.1187 0.2
55 0.05090069 0.13180570 0.04414440 0.12394065 -0.0138 0.0410 0.0483 0.1323 0.2
56 0.08263989 0.15211915 0.07378674 0.14314288 -0.0317 0.0813 0.0424 0.1667 0.2
57 0.11414793 0.17900907 0.09640645 0.16550718 -0.0271 0.0803 0.0177 0.2103 0.3
